"Elements","Ancestors"
"5066","301"
"5067","305"
"5068","305"
"5069","308"
"5070","213,210,200"
"5071","305"
"5072","307"
"5073","307"
"5074","307"
"5075","307"
"6000","301"
"6001","306"
"6002","306"
"6003","306"
"6004","306"
"6005","306"
"6006","306"
"6007","306"
"6008","306"
"6009","306"
"6011","306"
"6012","306"
"6013","306"
"6014","306"
"6015","306"
"6016","306"
"6017","306"
"6018","306"
"6019","306"
"6020","306"
"6021","306"
"6022","306"
"6023","307"
"6024","307"
"6025","307"
"6026","309"
"6027","309"
"7000","231,230,200"
"7002","231,230,200"
"7003","231,230,200"
"7004","231,230,200"
"7005","231,230,200"
"7006","231,230,200"
"7007","301"
"7008","231,230,200"
"7009","231,230,200"
"7010","231,230,200"
"7011","231,230,200"
"7012","231,230,200"
"7013","213,210,200"
"7014","213,210,200"
"7015","213,210,200"
"7016","213,210,200"
"7017","213,210,200"
"7018","213,210,200"
"8000","308"
"8001","308"
"8002","308"
"8003","308"
"8004","308"
"8005","308"
"8006","308"
"8007","301"
"8008","308"
"8009","308"
"8010","308"
"8011","308"
"8012","308"
"8013","308"
"8014","308"
"8015","308"
"8016","308"
"8017","308"
"8018","308"
"8019","213,210,200"
"8020","213,210,200"
"9000","309"
"9001","309"
"9002","309"
"9003","301"
"9004","301"
"9005","301"
"9006","301"
"9010","301"
"9011","301"
"9012","301"
"9013","301"
"9014","301"
"9015","301"
"9016","301"
"9017","301"
"9018","301"
"9019","301"
"9020","301"
"9021","301"
"9022","301"
"9023","301"
"9024","301"
"9025","301"
"9026","301"
"9027","301"
"9028","301"
"9029","301"
"9030","301"
"9031","151,150,100"
"9032","301"
"9033","301"
"9044","301"
"9045","301"
"9046","301"
"9047","301"
"9048","301"
"9049","301"
"9050","301"
"9051","301"
"9052","301"
"9053","301"
"9054","301"
"9055","301"
"9056","301"
"9057","301"
"9058","301"
"9059","301"
"9060","301"
"9061","301"
"9062","301"
"9063","301"
"9064","301"
"9065","301"
"9066","301"
"9067","301"
"9068","301"
"9069","301"
"9070","301"
"9071","301"
"9072","301"
"9073","301"
"9074","301"
"9075","301"
"9076","301"
"9077","301"
"9078","301"
"9079","301"
"9080","301"
"9081","301"
"9082","307"
"9083","307"
"9084","307"
"9085","307"
"9086","307"
"9087","307"
"9088","307"
"9089","307"
"9090","307"
"9091","307"
"9092","307"
"9093","307"
"9094","307"
"9095","307"
"9096","307"
"9097","307"
"9098","307"
"9099","307"
"9100","307"
"9101","307"
"9102","307"
"9103","307"
"9104","307"
"9105","307"
"9106","307"
"9107","307"
"9108","307"
"9109","307"
"9110","307"
"9111","307"
"9112","307"
"9113","307"
"9114","307"
"9115","307"
"9116","307"
"9117","307"
"9118","307"
"9119","307"
"9120","307"
"9121","307"
"9122","307"
"9123","307"
"9124","307"
"9125","307"
"9126","307"
"9127","307"
"9128","307"
"9129","307"
"9130","307"
"9131","307"
"9132","307"
"9133","307"
"9134","307"
"9135","307"
"9136","307"
"9137","307"
"9138","307"
"9139","307"
"9140","307"
"9141","307"
"9142","307"
"9144","307"
"9145","153,150,100"
"9146","307"
"9147","308"
"9148","100"
"9149","301"
"9150","301"
"9151","301"
"9152","307"
"9153","307"
"9154","307"
"9155","307"
"9156","307"
"9157","307"
"9158","307"
"9159","307"
"9160","307"
"9161","307"
"9162","307"
"9163","307"
"9164","307"
"9165","307"
"9166","307"
"9167","307"
"9168","307"
"9169","307"
"9170","307"
"9171","307"
"9172","307"
"9173","307"
"9174","307"
"9175","307"
"9176","307"
"9177","307"
"9178","307"
"9179","307"
"9180","307"
"9181","307"
"9182","307"
"9183","307"
"9184","307"
"9185","307"
"9186","307"
"9187","307"
"9188","307"
"9189","235,230,200"
"9190","307"
"9191","307"
"9192","307"
"9193","307"
"9194","307"
"9195","307"
"9196","301"
"9197","301"
"9198","301"
"9199","301"
"9200","301"
"9201","301"
"9202","301"
"9203","301"
"9204","301"
"9205","301"
"9206","301"
"9207","301"
"9208","301"
"9209","307"
"9210","307"
"9211","307"
"9212","307"
"9213","307"
"9214","307"
"9215","301"
"9216","301"
"9217","301"
"9218","301"
"9219","301"
"9220","301"
"9221","301"
"9222","301"
"9223","301"
"9224","301"
"9225","301"
"9226","301"
"9227","301"
"9228","301"
"9229","301"
"9231","301"
"9232","301"
"9233","301"
"9234","301"
"9236","307"
"9237","301"
"9238","301"
"9239","301"
"9240","301"
"9241","301"
"9242","301"
"9243","301"
"9244","301"
"9245","301"
"9246","301"
"9247","301"
"9248","301"
"9249","301"
"9250","301"
"9251","301"
"9252","308"
"9253","308"
"9254","308"
"9255","308"
"9256","307"
"9257","307"
"9258","309"
"9259","309"
"9260","307"
"9261","301"
"9262","307"
"9263","307"
"9264","307"
"9265","307"
"9266","307"
"9267","307"
"9268","307"
"9269","301"
"9270","308"
"9271","307"
"9272","307"
"9273","307"
"9274","301"
"9275","301"
"9276","301"
"9277","301"
"9278","301"
"9279","301"
"9280","301"
"9281","301"
"9282","301"
"9283","301"
"9284","301"
"9285","301"
"9286","301"
"9287","301"
"9289","301"
"9290","301"
"9291","301"
"9292","301"
"9293","301"
"9294","301"
"9295","301"
"9296","301"
"9297","301"
"9298","301"
"9299","301"
"9300","301"
"9301","301"
"9302","301"
"9303","301"
"9304","301"
"9305","301"
"9306","301"
"9307","301"
"9308","301"
"9309","301"
"9310","301"
"9311","301"
"9312","301"
"9313","301"
"9314","301"
"9315","301"
"9316","301"
"9317","301"
"9318","301"
"9319","301"
"9320","301"
"9321","301"
"9322","301"
"9323","301"
"9324","301"
"9325","301"
"9326","301"
"9327","301"
"9328","304"
"9329","308"
"9330","309"
"9331","309"
"9332","308"
"9333","301"
"9334","301"
"9335","301"
"9336","301"
"9337","301"
"9338","301"
"9339","301"
"9340","307"
"9341","307"
"9342","301"
"9343","307"
"9344","213,210,200"
"9345","307"
"9346","307"
"9347","307"
"9349","310"
"9350","307"
"9351","307"
"9352","307"
"9353","307"
"9354","307"
"9355","307"
"9356","301"
"9357","301"
"9358","301"
"9359","301"
"9360","301"
"9361","301"
"9362","301"
"9363","301"
"9364","301"
"9365","301"
"9366","301"
"9367","301"
"9368","301"
"9369","301"
"9370","308"
"9371","307"
"9372","307"
"9373","307"
"9374","307"
"9375","307"
"9376","307"
"9377","307"
"9378","307"
"9379","307"
"9380","307"
"9381","307"
"9382","236,230,200"
"9383","307"
"9384","307"
"9385","307"
"9386","307"
"9387","307"
"9389","307"
"9390","307"
"9888","307"
"9889","307"
"9890","301"
"9891","307"
"9892","301"
"9893","307"
"9894","301"
"9895","213,210,200"
"9896","213,210,200"
"9897","307"
"9898","307"
"9899","307"
"9900","307"
"9901","307"
"9902","307"
"9903","307"
"9904","301"
"9905","301"
"9906","301"
"9907","301"
"9908","307"
"9909","301"
"9910","307"
"9911","307"
"9912","307"
"9913","213,210,200"
"9914","301"
"9915","301"
"9916","301"
"9917","301"
"9918","301"
"9919","301"
"9920","301"
"9921","307"
"9922","307"
"9923","301"
"9924","307"
"9925","307"
"9926","307"
"9927","307"
"9928","307"
"9929","307"
"9930","307"
"9931","307"
"9932","307"
"9933","307"
"9934","307"
"9935","307"
"9936","307"
"9937","305"
"9938","307"
"9940","307"
"9941","301"
"9942","301"
"9943","307"
"9944","301"
"9945","301"
"9946","301"
"9947","213,210,200"
"9948","307"
"9949","307"
"9950","307"
"9951","301"
"9952","301"
"9953","307"
"9954","307"
"9955","301"
"9956","301"
"9957","301"
"9958","301"
"9959","301"
"9960","301"
"9961","120,100"
"9962","307"
"9963","307"
"9964","307"
"9965","307"
"9966","307"
"9967","301"
"9968","120,100"
"9969","307"
"9970","120,100"
"9971","120,100"
"9972","303"
"9973","307"
"9974","301"
"9975","130,100"
"9976","307"
"9977","213,210,200"
"9978","301"
"9979","301"
"9980","301"
"9981","301"
"9982","301"
"9984","301"
"9985","307"
"9986","301"
"9987","301"
"9988","301"
"9989","301"
"9990","301"
"9991","301"
"9992","301"
"9993","307"
"9994","307"
"9995","307"
"9996","307"
"9997","307"
"9998","307"
